Month,Borough,Equipment Type,Equipment Code,Total Outages,Scheduled Outages,Unscheduled Outages,Entrapments,Time Since Major Improvement,AM Peak Availability,AM Peak Hours Available,AM Peak Total Hours,PM Peak Availability,PM Peak Hours Available,PM Peak Total Hours,24-Hour Availability,24-Hour Hours Available,24-Hour Total Hours,Station Name,Station MRN,Station Complex Name,Station Complex MRN
01/01/2023,Brooklyn,Elevator,EL301,4,2,2,2,225,0.978629032258064,121.35000000000001,124,0.944623655913978,117.13333333333333,124,0.977956989247312,727.6,744,ATLANTICAV-BARCLAYSCTR-4AV-D/N/R,27,"Atlantic Av (B,Q,2,3,4,5)/Pacific St (D,N,R)",617
01/01/2023,Brooklyn,Elevator,EL709,6,2,4,0,145,0.98508064516129,122.14999999999998,123.99999999999999,0.97486559139785,120.88333333333331,123.99999999999999,0.971214157706093,722.5833333333334,744,JAYST-METROTECH-BWY-R,25,"Jay St-MetroTech (A,C,F,R)",636
01/01/2023,Brooklyn,Elevator,EL376,1,1,0,0,126,1,123.99999999999999,123.99999999999999,1,123.99999999999999,123.99999999999999,0.992921146953405,738.7333333333333,744,BAYPKWY-WST-D,68,Bay Pkwy - Station,68
01/01/2023,Brooklyn,Elevator,EL738,6,5,1,1,42,0.944086021505376,117.06666666666668,124,1,124,124,0.97116935483871,722.55,744,NEWUTRECHTAV-SEA-N,73,New Utrecht Av (N)/62 St (D),615
01/01/2023,Manhattan,Elevator,EL334,4,2,2,1,213,0.967741935483871,120,124,0.981182795698925,121.66666666666667,124,0.967428315412186,719.7666666666667,744,W4ST-WASHSQ-8AV-A/B/C/D/E/F/M,167,W 4 St-Wash Sq - Station,167
01/01/2023,Manhattan,Elevator,EL331,2,2,0,0,124,0.987903225806452,122.49999999999999,123.99999999999999,1,123.99999999999999,123.99999999999999,0.990031362007168,736.5833333333333,744,BLEECKERST-LEX-6,408,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",619
01/01/2023,Manhattan,Elevator,EL201,12,11,1,0,63,0.804569892473118,99.76666666666668,124,1,124,124,0.899395161290323,669.1500000000001,744,51ST-LEX-6,401,"Lexington Av-53 St (E,M)/51 St (6)",612
01/01/2023,Queens,Elevator,EL429,1,1,0,0,203,1,124,124,0.967741935483871,120,124,0.990591397849462,737,744,QUEENSPLAZA-QBL-E/M/R,273,Queens Plaza - Station,273
01/01/2023,Manhattan,Elevator,EL213,3,1,2,0,85,1,124,124,1,124,124,0.989829749103943,736.4333333333334,744,34ST-HERALDSQ-BWY-M/N/R/Q,12,"34 St-Herald Sq (B,D,F,M,N,Q,R)",607
01/01/2023,Manhattan,Elevator,EL107,7,4,3,0,14,0.93736559139785,116.23333333333332,123.99999999999999,0.949596774193548,117.74999999999997,123.99999999999999,0.955801971326165,711.1166666666667,744,181ST-BWY7-1,301,181 St - Station,301
01/01/2023,Manhattan,Elevator,EL217,5,3,2,0,272,1,123.99999999999999,123.99999999999999,1,123.99999999999999,123.99999999999999,0.987208781362007,734.4833333333333,744,14ST-UNIONSQ-LEX-4/5/6,406,"14 St-Union Sq (L,N,Q,R,4,5,6)",602
01/01/2023,Manhattan,Elevator,EL618,0,0,0,0,,1,36,36,1,36,36,1,216,216,34ST-PENNSTATION-7AV-1/2/3,318,34 St-Penn Station - Station,318
01/01/2023,Manhattan,Elevator,EL335,2,1,1,0,213,1,123.99999999999999,123.99999999999999,1,123.99999999999999,123.99999999999999,0.994220430107527,739.7,744,W4ST-WASHSQ-8AV-A/B/C/D/E/F/M,167,W 4 St-Wash Sq - Station,167
01/01/2023,Queens,Elevator,EL432,3,1,2,2,210,0.991397849462366,122.93333333333332,123.99999999999999,1,123.99999999999999,123.99999999999999,0.992069892473118,738.1,744,JAMAICA-179ST-QBL-F,254,Jamaica-179 St - Station,254
01/01/2023,Manhattan,Elevator,EL718X,0,0,0,0,N/A,1,123.99999999999999,123.99999999999999,1,123.99999999999999,123.99999999999999,1,744,744,FULTONST-LEX-4/5,412,"Fulton St (A,C,J,Z,2,3,4,5)",628
01/01/2023,Manhattan,Elevator,EL315,3,2,1,1,66,0.979838709677419,121.5,124,0.994354838709677,123.30000000000001,124,0.983154121863799,731.4666666666667,744,BROOKLYNBRIDGE-CITYHALL-LEX-4/5/6,411,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",622
01/01/2023,Bronx,Elevator,EL185,4,2,2,1,193,0.981854838709677,121.74999999999999,123.99999999999999,1,123.99999999999999,123.99999999999999,0.986245519713262,733.7666666666667,744,231ST-BWY7-1,295,231 St - Station,295
01/01/2023,Manhattan,Elevator,EL222,9,3,6,2,244,0.958602150537634,118.86666666666667,124,0.967741935483871,120,124,0.958064516129032,712.8,744,14ST-8AV-A/C/E,166,"14 St (A,C,E)/8 Av (L)",618
01/01/2023,Manhattan,Elevator,EL619,1,1,0,0,8,1,124,124,1,124,124,0.993817204301075,739.4,744,TIMESSQ-42ST-BWY-N/R/Q,11,"Times Sq-42 St (N,Q,R,S,1,2,3,7)/42 St (A,C,E)",611
01/01/2023,Manhattan,Elevator,EL710,6,2,4,1,186,1,123.99999999999999,123.99999999999999,0.974193548387097,120.79999999999998,123.99999999999999,0.98176523297491,730.4333333333334,744,BOWLINGGREEN-LEX-4/5,414,Bowling Green - Station,414
01/01/2023,Brooklyn,Elevator,EL375,1,1,0,0,174,1,123.99999999999999,123.99999999999999,1,123.99999999999999,123.99999999999999,0.993727598566308,739.3333333333334,744,CHURCHAV-6AV-F/G,243,Church Av - Station,243
01/01/2023,Brooklyn,Elevator,EL345,10,3,7,1,104,0.964516129032258,119.59999999999998,123.99999999999999,0.866397849462366,107.43333333333334,123.99999999999999,0.919310035842294,683.9666666666667,744,UTICAAV-8AV-A/C,181,Utica Av - Station,181
01/01/2023,Bronx,Elevator,EL132,1,1,0,0,249,1,123.99999999999999,123.99999999999999,1,123.99999999999999,123.99999999999999,0.99451164874552,739.9166666666666,744,161ST-YANKEESTADIUM-CON-B/D,219,"161 St-Yankee Stadium (B,D,4)",604
01/01/2023,Brooklyn,Elevator,EL372,5,3,2,1,212,0.986559139784946,122.33333333333331,123.99999999999999,0.967741935483871,119.99999999999997,123.99999999999999,0.974126344086022,724.75,744,DEKALBAV-4AV-B/Q/R,26,DeKalb Av - Station,26
01/01/2023,Manhattan,Elevator,EL728X,0,0,0,0,N/A,0.45994623655914,57.03333333333334,124,0.485618279569893,60.21666666666668,124,0.457459677419355,340.34999999999997,744,FULTONST-LEX-4/5,412,"Fulton St (A,C,J,Z,2,3,4,5)",628
01/01/2023,Brooklyn,Elevator,EL761,5,1,4,0,135,0.991263440860215,122.91666666666664,123.99999999999999,0.956989247311828,118.66666666666666,123.99999999999999,0.973947132616488,724.6166666666667,744,KINGSHWY-BWY-B/Q,51,Kings Hwy - Station,51
01/01/2023,Manhattan,Elevator,EL17X,0,0,0,0,N/A,1,123.99999999999999,123.99999999999999,1,123.99999999999999,123.99999999999999,1,744,744,CORTLANDTST-BWY-R,21,"Chambers St (A,C)/WTC (E)/Park Place (2,3)/Cortlandt St (R, W)",624
01/01/2023,Manhattan,Elevator,EL292,2,2,0,0,29,1,123.99999999999999,123.99999999999999,1,123.99999999999999,123.99999999999999,0.989112903225806,735.9000000000001,744,1AV-CNR-L,119,1 Av - Station,119
01/01/2023,Brooklyn,Elevator,EL757,3,1,2,1,25,1,124,124,1,124,124,0.984117383512545,732.1833333333333,744,EASTERNPKWY-BROOKLYNMUSEUM-EPK-2/3,341,Eastern Pkwy-Brooklyn Museum - Station,341
01/01/2023,Queens,Elevator,EL414,3,3,0,0,276,0.993951612903226,123.24999999999999,123.99999999999999,1,123.99999999999999,123.99999999999999,0.989807347670251,736.4166666666667,744,FLUSHING-MAINST-FLS-7,447,Flushing-Main St - Station,447
01/01/2023,Brooklyn,Elevator,EL765,2,2,0,0,26,1,124,124,1,124,124,0.987275985663082,734.5333333333333,744,GREENPOINTAV-XTN-G,283,Greenpoint Av - Station,283
01/01/2023,Queens,Elevator,EL421,4,3,1,1,204,0.989247311827957,122.66666666666666,123.99999999999999,0.99260752688172,123.08333333333331,123.99999999999999,0.980264336917563,729.3166666666666,744,JACKSONHTS-ROOSEVELTAV-QBL-E/F/M/R,267,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",616
01/01/2023,Queens,Elevator,EL431,3,2,1,0,210,1,124,124,1,124,124,0.98546146953405,733.1833333333334,744,JAMAICA-179ST-QBL-F,254,Jamaica-179 St - Station,254
01/01/2023,Brooklyn,Elevator,EL739,4,2,2,2,42,0.988844086021505,122.61666666666666,123.99999999999999,0.980779569892473,121.61666666666665,123.99999999999999,0.981608422939068,730.3166666666667,744,NEWUTRECHTAV-SEA-N,73,New Utrecht Av (N)/62 St (D),615
01/01/2023,Manhattan,Elevator,EL722,4,2,2,0,109,0.983870967741936,122,123.99999999999999,1,123.99999999999999,123.99999999999999,0.98035394265233,729.3833333333333,744,FULTONST-NAS-J/Z,106,"Fulton St (A,C,J,Z,2,3,4,5)",628
01/01/2023,Manhattan,Elevator,EL265,1,1,0,0,72,1,123.99999999999999,123.99999999999999,1,123.99999999999999,123.99999999999999,0.99413082437276,739.6333333333333,744,72ST-2AV-Q,477,72 St - Station,477
01/01/2023,Manhattan,Elevator,EL200X,0,0,0,0,N/A,0.774193548387097,96,124,0.767069892473118,95.11666666666667,124,0.773006272401434,575.1166666666667,744,34ST-HERALDSQ-BWY-M/N/R/Q,12,"34 St-Herald Sq (B,D,F,M,N,Q,R)",607
01/01/2023,Queens,Elevator,EL439,5,2,3,1,104,0.983198924731183,121.91666666666666,123.99999999999999,1,123.99999999999999,123.99999999999999,0.978382616487455,727.9166666666666,744,FORESTHILLS-71AV-QBL-E/F/M/R,261,Forest Hills-71 Av - Station,261
01/01/2023,Manhattan,Elevator,EL238,17,4,13,0,278,0.953494623655914,118.23333333333332,123.99999999999999,0.813575268817204,100.88333333333333,123.99999999999999,0.877240143369176,652.6666666666666,744,66ST-LINCOLNCENTER-BWY7-1,314,66 St-Lincoln Center - Station,314
01/01/2023,Queens,Elevator,EL413,3,1,2,0,13,1,123.99999999999999,123.99999999999999,1,123.99999999999999,123.99999999999999,0.990188172043011,736.7,744,JAMAICACENTER-PARSONS/ARCHER-QBL-E/J/Z,278,Jamaica Center-Parsons/Archer - Station,278
01/01/2023,Bronx,Elevator,EL197,2,2,0,0,98,1,123.99999999999999,123.99999999999999,0.996236559139785,123.5333333333333,123.99999999999999,0.992809139784946,738.65,744,HUNTSPOINTAV-PEL-6,371,Hunts Point Av - Station,371
01/01/2023,Brooklyn,Elevator,EL378,2,2,0,0,126,1,123.99999999999999,123.99999999999999,1,123.99999999999999,123.99999999999999,0.989135304659498,735.9166666666666,744,BAYPKWY-WST-D,68,Bay Pkwy - Station,68
01/01/2023,Manhattan,Elevator,EL212,7,2,5,0,9,0.996639784946236,123.58333333333333,123.99999999999999,1,123.99999999999999,123.99999999999999,0.981966845878136,730.5833333333333,744,34ST-HERALDSQ-BWY-M/N/R/Q,12,"34 St-Herald Sq (B,D,F,M,N,Q,R)",607
01/01/2023,Manhattan,Elevator,EL203X,0,0,0,0,N/A,1,123.99999999999999,123.99999999999999,1,123.99999999999999,123.99999999999999,1,744,744,LEXINGTONAV/53ST-QBL-E/M,275,"Lexington Av-53 St (E,M)/51 St (6)",612
01/01/2023,Brooklyn,Elevator,EL302,8,4,4,1,225,0.929704301075269,115.28333333333333,124,0.882661290322581,109.45,124,0.918525985663082,683.3833333333333,744,ATLANTICAV-BARCLAYSCTR-4AV-D/N/R,27,"Atlantic Av (B,Q,2,3,4,5)/Pacific St (D,N,R)",617
01/01/2023,Queens,Elevator,EL489X,0,0,0,0,N/A,0.576881720430108,71.53333333333333,123.99999999999999,0.580645161290322,71.99999999999999,123.99999999999999,0.580017921146953,431.5333333333333,744,AQUEDUCT-RACETRACK-RKY-A,196,Aqueduct-Racetrack - Station,196
01/01/2023,Queens,Elevator,EL430,1,1,0,0,203,1,124,124,0.967741935483871,120,124,0.98991935483871,736.5,744,QUEENSPLAZA-QBL-E/M/R,273,Queens Plaza - Station,273
01/01/2023,Manhattan,Elevator,EL116,2,2,0,0,14,0.983870967741936,122,123.99999999999999,0.997311827956989,123.66666666666664,123.99999999999999,0.983534946236559,731.75,744,190ST-8AV-A,145,190 St - Station,145
01/01/2023,Brooklyn,Elevator,EL317,2,1,1,1,22,1,123.99999999999999,123.99999999999999,0.996639784946236,123.58333333333333,123.99999999999999,0.989090501792115,735.8833333333333,744,BOROUGHHALL-CLK-2/3,335,"Court St (R)/Borough Hall (2,3,4,5)",620
01/01/2023,Brooklyn,Elevator,EL747X,0,0,0,0,N/A,0.735215053763441,91.16666666666669,124,0.77244623655914,95.78333333333335,124,0.749843189964158,557.8833333333333,744,HOYT-SCHERMERHORN-8AV-A/C/G,175,Hoyt-Schermerhorn - Station,175
01/01/2023,Manhattan,Elevator,EL264,2,1,1,0,72,1,123.99999999999999,123.99999999999999,0.981720430107527,121.73333333333332,123.99999999999999,0.990344982078853,736.8166666666666,744,72ST-2AV-Q,477,72 St - Station,477
01/01/2023,Manhattan,Elevator,EL228,2,1,1,0,247,1,123.99999999999999,123.99999999999999,1,123.99999999999999,123.99999999999999,0.992047491039427,738.0833333333333,744,34ST-PENNSTATION-8AV-A/C/E,164,34 St-Penn Station - Station,164
01/01/2023,Manhattan,Elevator,EL602,3,2,1,0,88,1,123.99999999999997,123.99999999999997,0.976612903225806,121.09999999999997,123.99999999999997,0.988799283154122,735.6666666666667,744,34ST-HUDSONYARDS-FLS-7,471,34 St-Hudson Yards - Station,471
01/01/2023,Queens,Elevator,EL465,9,3,6,1,30,1,123.99999999999999,123.99999999999999,0.860215053763441,106.66666666666666,123.99999999999999,0.949887992831541,706.7166666666667,744,ASTORIABLVD-AST-N/Q,2,Astoria Blvd - Station,2
01/01/2023,Queens,Elevator,EL422,1,1,0,0,204,1,123.99999999999999,123.99999999999999,1,123.99999999999999,123.99999999999999,0.993391577060932,739.0833333333334,744,JACKSONHTS-ROOSEVELTAV-QBL-E/F/M/R,267,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",616
01/01/2023,Queens,Elevator,EL445X,0,0,0,0,N/A,0.649193548387097,80.49999999999999,123.99999999999999,0.708064516129032,87.79999999999998,123.99999999999999,0.678584229390681,504.8666666666667,744,COURTSQ-FLS-7,462,"Court Sq (E,G,M,7)",606
01/01/2023,Manhattan,Elevator,EL607X,0,0,0,0,N/A,1,124,124,1,124,124,1,744,744,GRANDCENTRAL-42ST-LEX-S,469,"Grand Central-42 St (S,4,5,6,7)",610
01/01/2023,Manhattan,Elevator,EL441,4,1,3,3,73,1,123.99999999999999,123.99999999999999,0.967741935483871,119.99999999999997,123.99999999999999,0.949843189964158,706.6833333333333,744,LEXINGTONAV/63ST-63S-F/Q,223,Lexington Av/63 St - Station,223
01/01/2023,Manhattan,Elevator,EL229,2,2,0,0,236,1,123.99999999999999,123.99999999999999,1,123.99999999999999,123.99999999999999,0.992450716845878,738.3833333333333,744,TIMESSQ-42ST-BWY-N/R/Q,11,"Times Sq-42 St (N,Q,R,S,1,2,3,7)/42 St (A,C,E)",611
01/01/2023,Brooklyn,Elevator,EL397,4,1,3,0,179,0.870967741935484,108,124,0.891801075268817,110.58333333333334,124,0.885170250896057,658.5666666666666,744,MYRTLE-WYCKOFFAVS-CNR-L,128,"Myrtle-Wyckoff Avs (L,M)",630
01/01/2023,Manhattan,Elevator,EL145,7,3,4,0,146,0.989516129032258,122.69999999999999,123.99999999999999,0.981048387096774,121.64999999999999,123.99999999999999,0.967204301075269,719.6,744,96ST-BWY7-1/2/3,310,96 St - Station,310
01/01/2023,Manhattan,Elevator,EL290X,0,0,0,0,N/A,0,0,123.99999999999999,0,0,123.99999999999999,0,0,744,42ST/PORTAUTHORITY-BUSTERMINAL-8AV-A/C/E,163,"Times Sq-42 St (N,Q,R,S,1,2,3,7)/42 St (A,C,E)",611
01/01/2023,Queens,Elevator,EL424,2,2,0,0,69,1,123.99999999999999,123.99999999999999,1,123.99999999999999,123.99999999999999,0.988575268817204,735.5,744,BRIARWOOD-QBL-E/F,258,Briarwood - Station,258
01/01/2023,Queens,Elevator,EL433,2,1,1,0,211,1,123.99999999999999,123.99999999999999,1,123.99999999999999,123.99999999999999,0.992697132616488,738.5666666666667,744,JAMAICA-179ST-QBL-F,254,Jamaica-179 St - Station,254
01/01/2023,Brooklyn,Elevator,EL395,0,0,0,0,238,,0,0,,0,0,,0,0,FLUSHINGAV-JAM-J/M,98,Flushing Av - Station,98
01/01/2023,Queens,Elevator,EL434,3,1,2,0,174,0.931586021505376,115.51666666666665,123.99999999999999,0.924059139784946,114.58333333333333,123.99999999999999,0.921931003584229,685.9166666666666,744,KEWGARDENS-UNIONTPKE-QBL-E/F,259,Kew Gardens-Union Tpke - Station,259
01/01/2023,Manhattan,Elevator,EL11X,0,0,0,0,N/A,1,124,124,1,124,124,1,744,744,CORTLANDTST-7AV-1,328,Cortlandt St - Station,328
01/01/2023,Manhattan,Elevator,EL117,7,3,4,4,29,0.935483870967742,116.00000000000001,124,0.849462365591398,105.33333333333334,124,0.876836917562724,652.3666666666667,744,181ST-8AV-A,146,181 St - Station,146
01/01/2023,Bronx,Elevator,EL190,2,1,1,0,97,1,124,124,1,124,124,0.990882616487455,737.2166666666667,744,KINGSBRIDGERD-CON-B/D,212,Kingsbridge Rd - Station,212
01/01/2023,Bronx,Elevator,EL121,6,4,2,0,81,1,123.99999999999999,123.99999999999999,0.979032258064516,121.39999999999998,123.99999999999999,0.97972670250896,728.9166666666667,744,PELHAMBAYPARK-PEL-6,360,Pelham Bay Park - Station,360
01/01/2023,Brooklyn,Elevator,EL745,6,3,3,0,30,0.99260752688172,123.08333333333331,123.99999999999999,1,123.99999999999999,123.99999999999999,0.979233870967742,728.55,744,86ST-4AV-R,38,86 St - Station,38
01/01/2023,Queens,Elevator,EL408,2,2,0,0,70,0.97741935483871,121.19999999999999,123.99999999999999,1,123.99999999999999,123.99999999999999,0.98839605734767,735.3666666666667,744,JAMAICAVANWYCK-QBL-E,280,Jamaica Van Wyck - Station,280
